,Date,Revenue,Orders,AOV,Product_id
1241,2023-07-20,218.10599999999997,17,12.82976470588235,12
1242,2023-07-20,2880.906,174,16.55693103448276,13
1243,2023-07-20,0.0,0,,4
1244,2023-07-20,74.77399999999999,31,2.412064516129032,6
1245,2023-07-20,1682.058,10,168.2058,7
1246,2023-07-20,0.0,0,,8
1247,2023-07-20,15.315999999999999,3,5.105333333333333,14
1248,2023-07-20,68.80999999999999,115,0.5983478260869565,16
1249,2023-07-20,1860.194,147,12.654380952380953,18
1250,2023-07-21,0.0,164,0.0,
1251,2023-07-21,0.0,0,,1
1252,2023-07-21,0.0,0,,2
1253,2023-07-21,69.44,7,9.92,9
1254,2023-07-21,3839.4159999999997,220,17.451890909090906,10
1255,2023-07-21,2083.718,74,28.15835135135135,11
1256,2023-07-21,134.20399999999998,18,7.455777777777777,12
1257,2023-07-21,2760.45,175,15.774,13
1258,2023-07-21,20.355999999999998,1,20.355999999999998,4
1259,2023-07-21,55.215999999999994,20,2.7607999999999997,6
1260,2023-07-21,833.5879999999999,4,208.39699999999996,7
1261,2023-07-21,0.0,0,,8
1262,2023-07-21,69.356,13,5.335076923076922,14
1263,2023-07-21,0.0,0,,15
1264,2023-07-21,73.794,77,0.9583636363636363,16
1265,2023-07-21,2295.23,179,12.822513966480447,18
1266,2023-07-22,0.0,144,0.0,
1267,2023-07-22,0.0,0,,1
1268,2023-07-22,0.0,0,,2
1269,2023-07-22,0.0,0,,3
1270,2023-07-22,27.888,3,9.296000000000001,9
1271,2023-07-22,2697.324,160,16.858275,10
1272,2023-07-22,2428.622,88,27.59797727272727,11
1273,2023-07-22,46.242,13,3.557076923076923,12
1274,2023-07-22,2879.7999999999997,175,16.456,13
1275,2023-07-22,0.0,0,,4
1276,2023-07-22,92.16199999999999,36,2.5600555555555555,6
1277,2023-07-22,0.0,0,,7
1278,2023-07-22,0.0,0,,8
1279,2023-07-22,38.626,7,5.518,14
1280,2023-07-22,0.0,0,,15
1281,2023-07-22,132.468,97,1.3656494845360823,16
1282,2023-07-22,1463.8399999999997,112,13.069999999999997,18
1283,2023-07-23,0.0,171,0.0,
1284,2023-07-23,0.0,0,,1
1285,2023-07-23,0.0,0,,2
1286,2023-07-23,41.748,4,10.437,9
1287,2023-07-23,3271.4079999999994,181,18.074077348066297,10
1288,2023-07-23,2401.21,92,26.100108695652175,11
1289,2023-07-23,65.52,6,10.92,12
1290,2023-07-23,2921.394,181,16.140298342541435,13
1291,2023-07-23,0.0,0,,4
1292,2023-07-23,50.33,27,1.864074074074074,6
1293,2023-07-23,0.0,0,,7
1294,2023-07-23,0.0,0,,8
1295,2023-07-23,38.542,7,5.506,14
1296,2023-07-23,58.46399999999999,92,0.6354782608695652,16
1297,2023-07-23,0.0,0,,17
1298,2023-07-23,1376.5359999999998,106,12.98618867924528,18
1299,2023-07-24,0.0,211,0.0,
1300,2023-07-24,0.0,0,,1
1301,2023-07-24,2837.548,4,709.387,2
1302,2023-07-24,0.0,0,,3
1303,2023-07-24,13.873999999999999,1,13.873999999999999,9
1304,2023-07-24,3520.6079999999997,196,17.962285714285713,10
1305,2023-07-24,2578.828,102,25.282627450980392,11
1306,2023-07-24,128.856,17,7.5797647058823525,12
1307,2023-07-24,2986.466,174,17.163597701149424,13
1308,2023-07-24,0.0,0,,4
1309,2023-07-24,261.64599999999996,38,6.885421052631578,6
1310,2023-07-24,266.32199999999995,4,66.58049999999999,7
1311,2023-07-24,0.0,0,,8
1312,2023-07-24,30.799999999999997,6,5.133333333333333,14
1313,2023-07-24,118.08999999999999,109,1.0833944954128438,16
1314,2023-07-24,0.0,0,,17
1315,2023-07-24,1952.3839999999998,151,12.929695364238409,18
1316,2023-07-25,0.0,172,0.0,
1317,2023-07-25,0.0,0,,1
1318,2023-07-25,3293.2619999999997,1,3293.2619999999997,2
1319,2023-07-25,11.620000000000001,1,11.620000000000001,3
1320,2023-07-25,55.916,6,9.319333333333333,9
1321,2023-07-25,3940.0619999999994,221,17.82833484162896,10
1322,2023-07-25,3357.1859999999997,127,26.434535433070863,11
1323,2023-07-25,149.04399999999998,10,14.904399999999999,12
1324,2023-07-25,3098.3399999999997,190,16.307052631578944,13
1325,2023-07-25,0.0,0,,4
1326,2023-07-25,8.399999999999999,4,2.0999999999999996,6
1327,2023-07-25,0.0,0,,7
1328,2023-07-25,0.0,0,,8
1329,2023-07-25,30.981999999999996,6,5.163666666666666,14
1330,2023-07-25,89.404,129,0.6930542635658914,16
1331,2023-07-25,0.0,0,,17
1332,2023-07-25,2259.096,174,12.983310344827586,18
1333,2023-07-26,0.0,148,0.0,
1334,2023-07-26,0.0,0,,1
1335,2023-07-26,0.0,0,,2
1336,2023-07-26,42.014,4,10.5035,9
1337,2023-07-26,3350.3679999999995,200,16.751839999999998,10
1338,2023-07-26,2557.38,94,27.206170212765958,11
1339,2023-07-26,188.84599999999998,27,6.994296296296295,12
1340,2023-07-26,2945.11,186,15.833924731182796,13
1341,2023-07-26,0.0,0,,4
1342,2023-07-26,119.54599999999999,17,7.032117647058823,6
1343,2023-07-26,134.358,1,134.358,7
1344,2023-07-26,0.0,0,,8
1345,2023-07-26,15.511999999999999,3,5.1706666666666665,14
1346,2023-07-26,137.22799999999998,97,1.4147216494845358,16
1347,2023-07-26,2232.16,169,13.208047337278106,18
1348,2023-07-27,0.0,134,0.0,
1349,2023-07-27,0.0,0,,1
1350,2023-07-27,0.0,0,,2
1351,2023-07-27,42.042,4,10.5105,9
1352,2023-07-27,3281.5859999999993,181,18.13030939226519,10
1353,2023-07-27,2294.3059999999996,87,26.37133333333333,11
1354,2023-07-27,201.30599999999998,24,8.387749999999999,12
1355,2023-07-27,3039.2459999999996,183,16.60790163934426,13
1356,2023-07-27,0.0,0,,4
1357,2023-07-27,31.346,25,1.25384,6
1358,2023-07-27,511.02799999999996,6,85.17133333333332,7
1359,2023-07-27,0.0,0,,8
1360,2023-07-27,31.08,6,5.18,14
1361,2023-07-27,144.33999999999997,97,1.4880412371134017,16
1362,2023-07-27,2200.5339999999997,169,13.020911242603548,18
1363,2023-07-28,0.0,148,0.0,
1364,2023-07-28,0.0,0,,1
1365,2023-07-28,577.388,1,577.388,2
1366,2023-07-28,69.916,7,9.988,9
